combo,mho_f1,all_f1,delta,mho_acc,all_acc
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",0.19047619047619047,0.2231404958677686,-0.032664305391578136,0.43333333333333335,0.5822222222222222
"IoT_Weather.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.16600790513833993,0.2194513715710723,-0.05344346643273237,0.5311111111111111,0.30444444444444446
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.12658227848101267,0.19047619047619047,-0.0638939119951778,0.8466666666666667,0.7355555555555555
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.23874755381604695,0.30656934306569344,-0.06782178924964649,0.13555555555555557,0.7888888888888889
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_Modbus.csv",0.024390243902439025,0.09876543209876543,-0.07437518819632641,0.8222222222222222,0.6755555555555556
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_Modbus.csv",0.08080808080808081,0.2204724409448819,-0.13966436013680106,0.7977777777777778,0.56
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.0,0.16374269005847952,-0.16374269005847952,0.86,0.6822222222222222
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Weather.csv",0.12173913043478261,0.3058823529411765,-0.18414322250639387,0.7755555555555556,0.7377777777777778
"IoT_Motion_Light.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.056074766355140186,0.24444444444444444,-0.18836967808930424,0.7755555555555556,0.6977777777777778
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.0,0.22448979591836735,-0.22448979591836735,0.8644444444444445,0.6622222222222223
"IoT_Garage_Door.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.11475409836065574,0.34385964912280703,-0.22910555076215128,0.76,0.5844444444444444
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.0,0.23391812865497075,-0.23391812865497075,0.8666666666666667,0.4177777777777778
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",0.0,0.33962264150943394,-0.33962264150943394,0.8688888888888889,0.7666666666666667
